Longitude,Latitude,Title,TYPE_EXPL,FACILITY_ADDRESS
-122.058293435779,36.9994461618438,UCSC Health Center,Clinic,"1156 High St, Santa Cruz"
-122.055616836521,37.0018532814791,Santa Cruz Fire Station 4 – UCSC,Fire Station,1156 High St 95060
-122.063628998576,36.9990110451841,"University of California, Santa Cruz",School,"1156 High St, Santa Cruz"
-122.045313534861,36.9786283140394,High St. Community Church,Church,"850 High St, Santa Cruz 95060"
-122.04724292815,36.9787153772908,Peace United Chuch of Christ,Church,"900 High St, Santa Cruz 95060"
-122.049277906813,36.9785143713935,Westlake Elementary,School,"1000 High St, Santa Cruz"
-122.039932826622,36.9874671552603,Georgiana Bruce Kirby Preparatory School,School,"425 Enchinal St, Santa Cruz"
-122.038981326481,36.9882803806638,Santa Cruz County Special Education,School,"400 Encinal St, Santa Cruz"
-122.039080838663,36.9878038239488,Santa Cruz County Court,School,"400 Encinal St, Santa Cruz"
-122.039038904281,36.9880027797539,Santa Cruz County Community School,School,"400 Encinal St, Santa Cruz"
-122.038831578805,36.9877025175127,Santa Cruz County Office of Education,School,400 Encinal Santa Cruz
-122.033608201747,36.9879873999383,Community Bridges Elderday ,Rest-Nursing-Group Home,100 PIONEER ST Santa Cruz 95060
-122.032874928143,36.986028254906,County Warehouse,County Owned Building,220 A Fern St 95060
-122.034131733865,36.9814476853091,Portuguese Community Hall,Camp/Recreation,216 Evergreen
-122.030071848312,36.9799800879987,St. Francis Soup Kitchen,Camp/Recreation,109 Amat St
-122.030369851221,36.9787217974648,Holy Cross Church,Church,"126 High St, Santa Cruz 95060"
-122.038482694078,36.9872441895393,Santa Cruz County ROP,School,"399 Encinal St, Santa Cruz"
-122.038534079753,36.983429278214,The Cottage Community School,School,325 Evergreen
-122.059584496389,36.960416169165,Pacific Collegiate Charter,School,"3004 Mission St., Santa Cruz"
-122.05571923334,36.9592894671442,Santa Cruz County Warehouse,County Owned Building,2861 Mission St 95060
-122.043854249379,36.9614204680042,Community Seed-earth Spirit Fellowship,Church,"849 Almar Ave Suite C, Santa Cruz 9506"
-122.045347497368,36.9564028720734,New Life Center,Church,707 Fair Ave 95060
-122.048970819166,36.9545990629139,Natural Bridges High School,School,313 Swift Street
-122.048746664922,36.9534140690691,Gateway School,School,255 Swift St
-122.065761563275,36.9493689075561,"University of California, Santa Cruz",School,"115 McAllister Way, Santa Cruz"
